Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 86.0.4240.111,,,2020-10-24 16:15:51,2020-10-24 16:16:09,17.835s,FAILED
,,,,,,,
Test Cases/Tc1,Chrome 86.0.4240.111,,,2020-10-24 16:15:52,2020-10-24 16:16:05,13.218s,PASSED
"openBrowser("""")",Chrome 86.0.4240.111,,,2020-10-24 16:15:53,2020-10-24 16:15:58,5.787s,PASSED
navigateToUrl(Url),Chrome 86.0.4240.111,,,2020-10-24 16:15:58,2020-10-24 16:16:00,1.931s,PASSED
"click(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/a_ng nhp""))",Chrome 86.0.4240.111,,,2020-10-24 16:16:00,2020-10-24 16:16:01,0.656s,PASSED
"setText(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_Tn ng nhp_ctl00ContentPlaceHolder1ctl_537cb7""), User)",Chrome 86.0.4240.111,,,2020-10-24 16:16:01,2020-10-24 16:16:02,1.376s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_Mt m_ctl00ContentPlaceHolder1ctl00ctl_4544f5""), Password)",Chrome 86.0.4240.111,,,2020-10-24 16:16:02,2020-10-24 16:16:03,0.689s,PASSED
"click(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_S lng truy cp _ctl00ContentPlaceHolde_c71575""))",Chrome 86.0.4240.111,,,2020-10-24 16:16:03,2020-10-24 16:16:04,0.685s,PASSED
"waitForElementPresent(findTestObject(""Page_UP Portal  HoChiMinh University of Pedagogy/a_ng Thot""), 10)",Chrome 86.0.4240.111,,,2020-10-24 16:16:04,2020-10-24 16:16:04,0.383s,PASSED
closeBrowser(),Chrome 86.0.4240.111,,,2020-10-24 16:16:04,2020-10-24 16:16:05,0.963s,PASSED
,,,,,,,
Test Cases/Tc2,Chrome 86.0.4240.111,,,2020-10-24 16:16:05,2020-10-24 16:16:09,4.150s,FAILED
"openBrowser("""")",Chrome 86.0.4240.111,,,2020-10-24 16:16:05,2020-10-24 16:16:09,3.308s,PASSED
navigateToUrl(Url),Chrome 86.0.4240.111,,,2020-10-24 16:16:09,2020-10-24 16:16:09,0.467s,FAILED
