Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 86.0.4240.111,,,2020-10-24 15:59:45,2020-10-24 16:00:39,53.456s,FAILED
,,,,,,,
Test Cases/Tc1,Chrome 86.0.4240.111,,,2020-10-24 15:59:46,2020-10-24 15:59:58,12.415s,PASSED
"openBrowser("""")",Chrome 86.0.4240.111,,,2020-10-24 15:59:47,2020-10-24 15:59:53,5.697s,PASSED
navigateToUrl(Url),Chrome 86.0.4240.111,,,2020-10-24 15:59:53,2020-10-24 15:59:54,1.281s,PASSED
"click(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/a_ng nhp""))",Chrome 86.0.4240.111,,,2020-10-24 15:59:54,2020-10-24 15:59:55,0.581s,PASSED
"setText(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_Tn ng nhp_ctl00ContentPlaceHolder1ctl_537cb7""), User)",Chrome 86.0.4240.111,,,2020-10-24 15:59:55,2020-10-24 15:59:56,1.179s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_Mt m_ctl00ContentPlaceHolder1ctl00ctl_4544f5""), Password)",Chrome 86.0.4240.111,,,2020-10-24 15:59:56,2020-10-24 15:59:56,0.587s,PASSED
"click(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_S lng truy cp _ctl00ContentPlaceHolde_c71575""))",Chrome 86.0.4240.111,,,2020-10-24 15:59:56,2020-10-24 15:59:57,0.676s,PASSED
"waitForElementPresent(findTestObject(""Page_UP Portal  HoChiMinh University of Pedagogy/a_ng Thot""), 10)",Chrome 86.0.4240.111,,,2020-10-24 15:59:57,2020-10-24 15:59:57,0.501s,PASSED
closeBrowser(),Chrome 86.0.4240.111,,,2020-10-24 15:59:57,2020-10-24 15:59:58,0.868s,PASSED
,,,,,,,
Test Cases/Tc2,Chrome 86.0.4240.111,,,2020-10-24 15:59:58,2020-10-24 16:00:39,40.331s,FAILED
"openBrowser("""")",Chrome 86.0.4240.111,,,2020-10-24 15:59:59,2020-10-24 16:00:02,3.454s,PASSED
navigateToUrl(Url),Chrome 86.0.4240.111,,,2020-10-24 16:00:02,2020-10-24 16:00:04,1.464s,PASSED
"click(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/a_ng nhp""))",Chrome 86.0.4240.111,,,2020-10-24 16:00:04,2020-10-24 16:00:04,0.881s,PASSED
"setText(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_Tn ng nhp_ctl00ContentPlaceHolder1ctl_537cb7""), User)",Chrome 86.0.4240.111,,,2020-10-24 16:00:04,2020-10-24 16:00:05,0.730s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_Mt m_ctl00ContentPlaceHolder1ctl00ctl_4544f5""), Pass)",Chrome 86.0.4240.111,,,2020-10-24 16:00:05,2020-10-24 16:00:06,0.470s,PASSED
"click(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_S lng truy cp _ctl00ContentPlaceHolde_c71575""))",Chrome 86.0.4240.111,,,2020-10-24 16:00:06,2020-10-24 16:00:06,0.766s,PASSED
"verifyElementText(findTestObject(""Page_UP Portal  HoChiMinh University of Pedagogy/td_Mt m truy cp khng chnh xc""), ""Mật mã truy cập không chính xác"")",Chrome 86.0.4240.111,,,2020-10-24 16:00:06,2020-10-24 16:00:39,32.179s,FAILED
